City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Sarkand,KZ,2020-06-22 16:21:42,45.41,79.92,68.47,26,98,4.54
223,Rudnichnyy,RU,2020-06-22 16:21:42,59.62,52.47,57.42,59,18,4.27
224,Yar-Sale,RU,2020-06-22 16:21:36,66.83,70.83,45.97,67,79,15.19
225,Half Moon Bay,US,2020-06-22 16:21:42,37.46,-122.43,69.01,82,90,4.7
226,Pochutla,MX,2020-06-22 16:21:42,15.74,-96.47,88.0,66,75,11.41
227,Agadez,NE,2020-06-22 16:21:43,19.75,10.25,106.68,6,0,3.13
228,Ahipara,NZ,2020-06-22 16:21:43,-35.17,173.17,57.33,86,24,10.76
229,Temiscaming,CA,2020-06-22 16:21:43,46.72,-79.1,80.01,78,75,5.82
230,Ponta Delgada,PT,2020-06-22 16:21:43,37.73,-25.67,69.8,83,20,11.41
231,Biak,ID,2020-06-22 16:21:43,-0.91,122.88,76.89,79,40,7.47
232,Dhidhdhoo,MV,2020-06-22 16:21:43,6.88,73.1,84.42,80,100,14.36
233,Hamilton,US,2020-06-22 16:20:18,39.18,-84.53,80.01,65,75,9.17
234,Cockburn Town,TC,2020-06-22 16:21:43,21.46,-71.14,87.8,70,40,16.11
235,Aksha,RU,2020-06-22 16:21:43,50.28,113.29,55.58,93,100,3.67
236,Tura,IN,2020-06-22 16:21:43,25.52,90.22,76.37,93,43,5.14
237,Campamento,HN,2020-06-22 16:21:43,14.55,-86.65,76.19,77,97,7.07
238,Usogorsk,RU,2020-06-22 16:21:44,63.41,48.69,60.3,62,100,7.81
239,College,US,2020-06-22 16:21:44,64.86,-147.8,51.8,87,90,5.82
240,Kisangani,CD,2020-06-22 16:21:44,0.52,25.2,81.19,62,84,1.83
241,Sabha,LY,2020-06-22 16:21:44,27.04,14.43,94.12,12,0,5.66
242,Dafeng,CN,2020-06-22 16:21:44,23.45,108.59,80.06,85,100,5.77
243,Severo-Yeniseyskiy,RU,2020-06-22 16:21:44,60.37,93.04,55.98,84,90,2.01
244,Airai,TL,2020-06-22 16:21:44,-8.93,125.41,57.79,100,86,4.12
245,Isangel,VU,2020-06-22 16:21:44,-19.55,169.27,75.2,83,75,11.41
246,Konstantinovka,RU,2020-06-22 16:21:44,49.62,127.98,51.55,96,100,5.97
247,Emerald,AU,2020-06-22 16:21:44,-23.53,148.17,50.0,57,0,6.93
248,Ilulissat,GL,2020-06-22 16:21:44,69.22,-51.1,48.2,61,40,5.82
249,Iqaluit,CA,2020-06-22 16:17:23,63.75,-68.51,50.0,57,40,4.7
250,Hofn,IS,2020-06-22 16:21:45,64.25,-15.21,53.6,76,40,13.87
251,Choa Saidan Shah,PK,2020-06-22 16:21:45,32.72,72.98,97.9,18,0,3.51
252,Saint George,US,2020-06-22 16:21:45,37.1,-113.58,87.01,14,1,5.82
253,Oparino,RU,2020-06-22 16:21:45,59.85,48.28,58.69,64,75,4.05
254,Gladstone,AU,2020-06-22 16:21:45,-23.85,151.25,55.4,62,0,8.05
255,Kysyl-Syr,RU,2020-06-22 16:21:45,63.9,122.76,59.4,64,30,3.2
256,Mar Del Plata,AR,2020-06-22 16:21:45,-38.0,-57.56,53.6,76,53,14.99
257,Saint Pete Beach,US,2020-06-22 16:21:45,27.73,-82.74,90.0,66,1,5.82
258,Fortuna,US,2020-06-22 16:21:45,40.6,-124.16,60.01,100,90,3.36
259,Gerash,IR,2020-06-22 16:21:45,27.67,54.14,96.8,13,0,4.7
260,Kenai,US,2020-06-22 16:21:46,60.55,-151.26,53.6,66,1,9.17
261,Belomorsk,RU,2020-06-22 16:21:46,64.52,34.77,70.65,48,91,3.56
262,Bereda,ES,2020-06-22 16:21:46,43.27,-7.54,84.0,57,64,10.0
263,Moerai,PF,2020-06-22 16:17:17,-22.43,-151.33,69.55,67,11,20.71
264,Bac Lieu,VN,2020-06-22 16:21:46,9.29,105.72,83.28,79,94,5.97
265,West Bay,KY,2020-06-22 16:18:43,19.37,-81.42,89.6,75,40,12.75
266,Arraial Do Cabo,BR,2020-06-22 16:21:46,-22.97,-42.03,89.6,51,0,3.31
267,Nouadhibou,MR,2020-06-22 16:21:46,20.93,-17.03,74.41,57,0,25.52
268,Akoupe,CI,2020-06-22 16:21:46,6.39,-3.9,77.56,94,84,5.01
269,Isla Mujeres,MX,2020-06-22 16:20:03,21.23,-86.73,86.0,74,75,10.29
270,Mandalgovi,MN,2020-06-22 16:21:46,45.76,106.27,64.76,44,0,9.19
271,U Thong,TH,2020-06-22 16:21:46,14.38,99.89,82.96,75,31,8.25
272,Kemin,KG,2020-06-22 16:21:46,42.78,75.69,70.86,33,20,5.5
273,Sambava,MG,2020-06-22 16:21:46,-14.27,50.17,73.96,78,36,14.61
274,Wewak,PG,2020-06-22 16:21:47,-3.55,143.63,79.47,81,62,2.26
275,Nyurba,RU,2020-06-22 16:21:47,63.28,118.33,61.5,55,50,6.53
276,Port Keats,AU,2020-06-22 16:21:47,-14.25,129.55,69.66,36,0,13.94
277,Kenora,CA,2020-06-22 16:21:47,49.82,-94.43,57.2,87,90,3.36
278,Dapdap,PH,2020-06-22 16:21:47,12.06,125.49,81.91,81,89,7.83
279,Chuy,UY,2020-06-22 16:21:10,-33.7,-53.46,59.7,83,96,6.04
280,Lincoln,US,2020-06-22 16:20:02,40.8,-96.67,78.8,57,20,10.29
281,Hualmay,PE,2020-06-22 16:21:47,-11.1,-77.61,67.08,69,68,8.41
282,San Lorenzo,PY,2020-06-22 16:21:47,-25.33,-57.53,84.2,54,0,12.75
283,Praya,CV,2020-06-22 16:21:47,14.92,-23.51,86.0,62,20,6.93
284,Morant Bay,JM,2020-06-22 16:21:47,17.88,-76.41,89.6,70,20,25.28
285,Aginskoye,RU,2020-06-22 16:21:47,51.1,114.53,59.63,69,100,6.62
286,Kulhudhuffushi,MV,2020-06-22 16:21:48,6.62,73.07,84.29,80,100,14.0
287,Perehonivka,UA,2020-06-22 16:21:48,48.54,30.52,75.27,77,93,0.94
288,Ust-Barguzin,RU,2020-06-22 16:21:48,53.45,108.98,52.29,77,97,1.95
289,Touros,BR,2020-06-22 16:21:48,-5.2,-35.46,82.4,65,75,12.75
290,Salalah,OM,2020-06-22 16:21:48,17.02,54.09,84.2,89,40,6.93
291,Kargil,IN,2020-06-22 16:21:48,34.57,76.1,63.14,29,4,6.71
292,Necochea,AR,2020-06-22 16:21:48,-38.55,-58.74,52.0,83,97,11.99
293,Kangaatsiaq,GL,2020-06-22 16:21:48,68.31,-53.46,40.42,75,0,10.98
294,Iquique,CL,2020-06-22 16:21:48,-20.22,-70.14,62.6,63,1,9.17
295,Shimoda,JP,2020-06-22 16:21:48,34.67,138.95,62.01,92,98,1.99
296,Makinsk,KZ,2020-06-22 16:21:49,52.63,70.42,61.83,64,100,13.85
297,Stroud,GB,2020-06-22 16:21:49,51.75,-2.2,73.4,49,20,12.75
298,Nizhniy Odes,RU,2020-06-22 16:21:49,63.64,54.86,46.2,97,100,5.17
299,Kozhva,RU,2020-06-22 16:21:49,65.11,57.05,44.89,87,100,4.79
300,Honiara,SB,2020-06-22 16:21:49,-9.43,159.95,75.2,100,75,2.53
301,Harur,IN,2020-06-22 16:21:49,12.07,78.5,82.74,60,100,10.83
302,Torbay,CA,2020-06-22 16:21:49,47.67,-52.73,63.0,51,90,12.75
303,Ettaiyapuram,IN,2020-06-22 16:21:49,9.14,77.99,85.06,55,100,14.45
304,Flinders,AU,2020-06-22 16:17:36,-34.58,150.86,52.0,62,40,8.99
305,Lompoc,US,2020-06-22 16:17:30,34.64,-120.46,57.2,93,99,4.7
