City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
222,Broome,US,42.25,-75.83,80.01,54,75,9.17,broken clouds,0.0,0.0
223,Inhambane,MZ,-23.86,35.38,65.64,72,9,6.35,clear sky,0.0,0.0
224,Madang,PG,-5.22,145.8,79.16,86,10,3.67,moderate rain,1.51,0.0
225,Astaneh-Ye Ashrafiyeh,IR,37.26,49.94,74.5,47,0,3.44,clear sky,0.0,0.0
226,Omsukchan,RU,62.53,155.8,72.09,35,1,4.29,clear sky,0.0,0.0
227,Lagoa,PT,39.05,-27.98,61.03,70,13,15.66,few clouds,0.0,0.0
228,Alta Floresta,BR,-9.88,-56.09,75.31,62,72,4.41,broken clouds,0.0,0.0
229,Moree,AU,-29.47,149.85,44.6,93,90,4.59,overcast clouds,0.0,0.0
230,Viedma,AR,-40.81,-63.0,48.27,49,0,9.95,clear sky,0.0,0.0
231,Norman Wells,CA,65.28,-126.83,51.8,81,90,13.87,overcast clouds,0.0,0.0
232,Ust-Omchug,RU,61.15,149.63,68.67,49,47,3.31,scattered clouds,0.0,0.0
233,Faanui,PF,-16.48,-151.75,78.82,80,100,17.07,overcast clouds,0.0,0.0
234,Byron Bay,AU,-28.65,153.62,51.01,76,0,8.05,clear sky,0.0,0.0
235,Voskresenskoye,RU,56.84,45.43,54.45,86,67,6.53,broken clouds,0.0,0.0
236,Pevek,RU,69.7,170.31,32.72,95,100,10.16,overcast clouds,0.0,0.0
237,Howell,US,42.61,-83.93,68.0,64,90,14.99,overcast clouds,0.0,0.0
238,Cockburn Town,TC,21.46,-71.14,86.0,70,40,11.41,scattered clouds,0.0,0.0
239,San Rafael,AR,-34.62,-68.33,46.85,72,97,1.77,overcast clouds,0.0,0.0
240,Paso De Carrasco,UY,-34.86,-56.05,55.4,100,90,11.41,overcast clouds,0.0,0.0
241,Selma,US,36.57,-119.61,102.2,25,1,7.78,clear sky,0.0,0.0
242,Tangier,MA,35.78,-5.81,69.8,88,0,2.24,clear sky,0.0,0.0
243,Manjo,CM,4.84,9.82,70.83,95,98,1.03,light rain,0.35,0.0
244,Limoux,FR,42.92,2.17,71.6,64,0,9.17,clear sky,0.0,0.0
245,Narasannapeta,IN,18.42,84.05,82.69,84,0,3.89,light rain,0.11,0.0
246,Lexington,US,37.99,-84.48,80.01,57,40,12.75,scattered clouds,0.0,0.0
247,Artesia,US,33.87,-118.08,82.99,64,1,9.17,clear sky,0.0,0.0
248,San Patricio,MX,19.22,-104.7,89.6,70,40,11.41,scattered clouds,0.0,0.0
249,Grindavik,IS,63.84,-22.43,50.0,93,75,9.17,light rain,0.0,0.0
250,Boone,US,39.03,-92.33,78.01,38,2,11.01,clear sky,0.0,0.0
251,Mercedes,AR,-34.65,-59.43,55.0,78,100,1.99,overcast clouds,0.0,0.0
252,Kananga,CD,-5.9,22.42,70.43,46,0,2.53,clear sky,0.0,0.0
253,Poronaysk,RU,49.22,143.12,47.26,94,100,4.29,overcast clouds,0.0,0.0
254,Caborca,MX,30.58,-111.1,102.99,27,0,1.01,clear sky,0.0,0.0
255,Andros Town,BS,24.7,-77.77,87.8,70,40,9.17,scattered clouds,0.0,0.0
256,North Battleford,CA,52.78,-108.28,84.0,42,20,10.29,few clouds,0.0,0.0
257,Karoi,ZW,-16.81,29.69,55.74,59,47,3.24,scattered clouds,0.0,0.0
258,Havoysund,NO,71.0,24.66,51.8,87,84,9.17,broken clouds,0.0,0.0
