City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
147,Ilulissat,GL,69.22,-51.1,33.8,100,90,4.7,fog,0.0,0.0
148,Kruisfontein,ZA,-34.0,24.73,67.73,31,0,15.21,clear sky,0.0,0.0
149,Hami,CN,42.8,93.45,87.01,20,0,7.02,clear sky,0.0,0.0
150,Ribeira Grande,PT,38.52,-28.7,71.6,83,75,11.41,broken clouds,0.0,0.0
151,Borovskoy,KZ,53.8,64.15,61.29,55,5,14.67,light rain,0.37,0.0
152,Tilichiki,RU,60.47,166.1,49.51,70,7,4.63,clear sky,0.0,0.0
153,Tokur,RU,53.13,132.9,56.3,82,100,2.51,overcast clouds,0.0,0.0
154,San Antonio,US,29.42,-98.49,78.8,100,90,5.82,mist,0.0,0.0
155,San Quintin,MX,30.48,-115.95,61.47,92,6,7.25,clear sky,0.0,0.0
156,Nelson Bay,AU,-32.72,152.15,51.8,93,75,8.05,broken clouds,0.0,0.0
157,Corrente,BR,-3.74,-43.34,81.63,69,19,2.15,few clouds,0.0,0.0
158,Lorengau,PG,-2.02,147.27,83.07,76,80,9.1,light rain,0.18,0.0
159,Esperance,AU,-33.87,121.9,59.0,58,0,6.93,clear sky,0.0,0.0
160,Deputatskiy,RU,69.3,139.9,69.44,52,12,9.98,few clouds,0.0,0.0
161,Souillac,MU,-20.52,57.52,71.6,94,75,10.29,shower rain,0.0,0.0
162,Padang,ID,-0.95,100.35,81.14,75,79,2.84,broken clouds,0.0,0.0
163,Puerto Escondido,MX,15.85,-97.07,78.62,76,96,3.87,overcast clouds,0.0,0.0
164,Anshun,CN,26.25,105.93,70.93,91,93,12.12,overcast clouds,0.0,0.0
165,Fiumicino,IT,41.77,12.23,95.0,35,0,12.75,clear sky,0.0,0.0
166,Comodoro Rivadavia,AR,-45.87,-67.5,28.4,74,0,9.17,clear sky,0.0,0.0
167,Margate,GB,51.38,1.39,66.0,81,95,11.99,light rain,0.16,0.0
168,Campos Altos,BR,-19.7,-46.17,65.82,60,0,4.5,clear sky,0.0,0.0
169,Saint-Philippe,RE,-21.36,55.77,78.8,61,27,6.93,light rain,0.23,0.0
170,Cayenne,GF,4.93,-52.33,77.0,100,75,0.92,broken clouds,0.0,0.0
171,Vilyuysk,RU,63.76,121.62,71.46,62,60,4.79,broken clouds,0.0,0.0
172,Shemordan,RU,56.19,50.4,71.94,75,96,16.42,moderate rain,1.33,0.0
173,Butembo,CD,0.15,29.28,70.79,72,85,1.97,light rain,0.67,0.0
174,Airai,TL,-8.93,125.41,56.8,100,100,3.4,overcast clouds,0.0,0.0
175,Acari,PE,-15.43,-74.62,61.66,58,44,1.34,scattered clouds,0.0,0.0
176,Pozo Colorado,PY,-23.49,-58.8,49.14,89,1,5.55,clear sky,0.0,0.0
177,Zhigalovo,RU,54.81,105.16,77.79,43,100,5.12,overcast clouds,0.0,0.0
178,Doha,QA,25.29,51.53,109.99,44,38,12.75,scattered clouds,0.0,0.0
179,Mount Hagen,PG,-5.86,144.23,59.49,90,90,1.83,overcast clouds,0.0,0.0
180,Maldonado,UY,-34.67,-54.92,41.0,93,61,3.36,broken clouds,0.0,0.0
181,Maltahohe,NA,-24.83,16.98,69.8,17,0,7.49,clear sky,0.0,0.0
182,Nara,JP,34.69,135.8,82.0,74,75,4.7,broken clouds,0.0,0.0
183,Calama,CL,-22.47,-68.93,39.2,23,0,23.04,clear sky,0.0,0.0
184,Kamenka,RU,51.32,42.77,81.0,40,0,3.0,clear sky,0.0,0.0
185,Pevek,RU,69.7,170.31,30.79,99,98,24.43,light snow,0.0,0.4
186,Ponta Do Sol,PT,32.67,-17.1,72.0,63,6,10.0,clear sky,0.0,0.0
187,Lanquin,GT,15.57,-89.97,68.65,85,32,2.73,scattered clouds,0.0,0.0
188,Kurilsk,RU,45.23,147.88,48.56,86,100,13.0,overcast clouds,0.0,0.0
189,Pasighat,IN,28.07,95.33,76.42,86,100,1.32,light rain,0.9,0.0
190,Pasni,PK,25.26,63.47,86.13,80,0,22.1,clear sky,0.0,0.0
191,Bontang,ID,0.13,117.5,75.97,89,100,4.9,light rain,0.73,0.0
192,Keuruu,FI,62.27,24.7,84.99,39,26,9.17,scattered clouds,0.0,0.0
193,Lebu,CL,-37.62,-73.65,49.08,91,87,9.44,overcast clouds,0.0,0.0
194,Palmer,US,42.16,-72.33,68.0,82,1,1.45,clear sky,0.0,0.0
195,San Policarpo,PH,12.18,125.51,81.1,82,100,13.38,light rain,0.69,0.0
196,Narsaq,GL,60.92,-46.05,42.8,87,75,6.93,broken clouds,0.0,0.0
197,Fukue,JP,32.69,128.84,76.01,94,100,25.86,heavy intensity rain,10.95,0.0
198,Buala,SB,-8.14,159.59,81.05,81,100,8.03,overcast clouds,0.0,0.0
199,Lompoc,US,34.64,-120.46,57.2,93,90,4.7,overcast clouds,0.0,0.0
200,Erenhot,CN,43.65,111.98,81.82,21,14,6.35,few clouds,0.0,0.0
201,Bethel,US,41.37,-73.41,66.0,82,1,2.62,clear sky,0.0,0.0
202,Caravelas,BR,-17.71,-39.25,77.0,75,52,7.72,broken clouds,0.0,0.0
203,Hassan,IN,13.0,76.1,75.47,77,100,15.3,overcast clouds,0.0,0.0
204,Lewiston,US,44.1,-70.21,70.0,93,1,3.74,clear sky,0.0,0.0
205,Yerbogachen,RU,61.28,108.01,74.08,56,22,3.44,few clouds,0.0,0.0
206,Kavieng,PG,-2.57,150.8,82.02,80,100,13.67,light rain,0.66,0.0
207,Tupik,RU,54.43,119.93,61.21,79,21,2.59,light rain,0.16,0.0
208,Middelburg,ZA,-25.78,29.46,65.44,27,0,15.14,clear sky,0.0,0.0
209,Kapuskasing,CA,49.42,-82.43,62.6,100,90,4.7,mist,0.0,0.0
210,Shirokiy,RU,49.76,129.52,63.84,88,100,3.87,overcast clouds,0.0,0.0
211,Santa Lucia,ES,27.91,-15.54,75.99,57,40,28.86,scattered clouds,0.0,0.0
212,Cayambe,EC,0.05,-78.13,51.8,93,75,3.36,broken clouds,0.0,0.0
213,Asyut,EG,27.18,31.18,91.4,38,0,13.87,clear sky,0.0,0.0
214,Praia,CV,14.92,-23.51,80.6,65,40,19.46,scattered clouds,0.0,0.0
215,Bayir,TR,37.27,28.22,95.0,38,20,19.46,few clouds,0.0,0.0
216,Kattivakkam,IN,13.22,80.32,84.2,83,75,3.36,haze,0.0,0.0
217,Sukhumi,GE,43.0,41.02,81.1,57,100,4.7,light rain,0.22,0.0
218,Tiznit,MA,29.58,-9.5,88.77,22,12,7.58,few clouds,0.0,0.0
219,Emba,KZ,48.83,58.14,70.57,28,22,17.58,few clouds,0.0,0.0
220,Itarema,BR,-2.92,-39.92,80.76,72,28,13.02,scattered clouds,0.0,0.0
221,Porbandar,IN,21.64,69.61,88.95,68,96,12.8,overcast clouds,0.0,0.0
222,Magdagachi,RU,53.45,125.8,62.74,80,16,4.32,light rain,0.56,0.0
223,Rocha,UY,-34.48,-54.33,43.88,78,60,3.53,broken clouds,0.0,0.0
224,Rafai,CF,4.95,23.92,74.57,85,89,6.06,light rain,0.31,0.0
225,Severo-Kurilsk,RU,50.68,156.12,49.39,62,9,10.36,clear sky,0.0,0.0
226,Nanortalik,GL,60.14,-45.24,40.48,88,99,2.82,overcast clouds,0.0,0.0
227,Ayan,RU,56.45,138.17,45.36,96,100,7.43,overcast clouds,0.0,0.0
228,Bilma,NE,18.69,12.92,103.24,7,7,8.37,clear sky,0.0,0.0
229,Bengkulu,ID,-3.8,102.27,80.85,79,15,4.16,light rain,0.17,0.0
230,Aswan,EG,24.09,32.91,105.84,8,0,6.6,clear sky,0.0,0.0
